# SPDX-FileCopyrightText: 2026 Gabriele Capparelli
# SPDX-License-Identifier: Apache-2.0
#
# Manual overrides applied on top of the auto-normalized shape-index names.
# Format: tech_id,canonical_name,aliases (aliases pipe-separated, no spaces)
#
# Add an override when the auto-normalized name is wrong, awkward or missing
# common aliases. The auto-normalizer covers ~90% of cases; this CSV is for
# the remaining ~10% where editorial judgment is needed.
#
# Edit, then run: python3 scripts/build-shape-index.py
#
# Lines starting with # are ignored. Blank lines are ignored.
# tech_id is matched case-sensitively against shape-index.json services[].name (pre-normalize).

tech_id,canonical_name,aliases
20074-sap-cloud-identity_sap-custom-domain-service_sd,SAP Cloud Identity Custom Domain Service,Custom Domain
20090-sap-job-scheduling-service_sd,SAP Job Scheduling Service,Job Scheduler|Job Scheduling|Cron
20092-sap-monitoring-service-for-sap-btp_sd,SAP Monitoring Service for SAP BTP,Monitoring Service
20095-sap-translation-hub_sd,SAP Translation Hub,Translation Hub
31045-sap-solution-lifecycle-management-service-for-sap-btp_sd,SAP Solution Lifecycle Management Service for SAP BTP,SLM|Solution Lifecycle Mgmt
31068-sap-build-work-zone_sd,SAP Build Work Zone,Work Zone Standard
31113-sap-connectivity-service_sd,SAP Connectivity Service,Connectivity|BTP Connectivity
32082-sap-event-broker-for-sap-cloud-applications_sd,SAP Event Broker for SAP Cloud Applications,Event Broker
32129-sap-cloud-identity-service,SAP Cloud Identity Services,Cloud Identity Services
32136-edge-integration-cell_sd,SAP Edge Integration Cell,EIC|Edge Cell
33149-sap-s4hana-for-microsoft-teams_sd,SAP S/4HANA for Microsoft Teams,S/4 Teams|S4 for Teams
48072-sap-identity-provisoning,SAP Identity Provisioning,IPS|Identity Provisioning
31015-sap-cloud-identity_sap-authorization-and-trust-management-service_sd,SAP Authorization and Trust Management Service,XSUAA|Authorization & Trust Mgmt|Auth Trust Mgmt|Trust Management
# ── 2026-07-08: svg re-harvest — dedicated icons for the identity family and the
# Integration Suite capabilities now exist; curate their names + common acronyms.
32071-identity-authentication_sd,SAP Identity Authentication,IAS|Identity Authentication|Identity Authentication Service
32072-identity-provisioning_sd,SAP Identity Provisioning,IPS|Identity Provisioning
32128-identity-directory,SAP Identity Directory,Identity Directory
32127-authorization-management,SAP Authorization Management,Authorization Management
32129-sap-cloud-identity-services_sd,SAP Cloud Identity Services,SCI|Cloud Identity Services|Cloud Identity
32133-sap-integration-suite_api-management_sd,SAP Integration Suite - API Management,API Management|APIM|API Mgmt
32134-sap-integration-suite_cloud-integration_sd,SAP Integration Suite - Cloud Integration,CPI|Cloud Integration|iFlows
32135-sap-integration-suite_data-space-integration_sd,SAP Integration Suite - Data Space Integration,Data Space Integration|DSI
32138-sap-integration-suite_integration-advisor_sd,SAP Integration Suite - Integration Advisor,Integration Advisor
32139-sap-integration-suite_integration-assessment_sd,SAP Integration Suite - Integration Assessment,Integration Assessment
32140-sap-integration-suite_migration-assessment_sd,SAP Integration Suite - Migration Assessment,Migration Assessment
32141-sap-integration-suite_open-connectors_sd,SAP Integration Suite - Open Connectors,Open Connectors|OC
32142-sap-integration-suite_trading-partner-management_sd,SAP Integration Suite - Trading Partner Management,Trading Partner Management|TPM
32087-sap-integration-suite_graph_sd,SAP Integration Suite - Graph,Graph
32032-sap-integration-suite_advanced-event-mesh_sd,SAP Integration Suite - Advanced Event Mesh,Advanced Event Mesh|AEM
31037-sap-integration-suite_event-mesh_sd,SAP Integration Suite - Event Mesh,Event Mesh|EM|Pub/Sub
31026-sap-document-and-reporting-compliance_sd,SAP Document and Reporting Compliance,DRC|Document and Reporting Compliance
33145-sap-process-visibility-service_sd,SAP Process Visibility,Process Visibility|PVS
32150-sap-dynamic-forms_sd,SAP Dynamic Forms,Dynamic Forms
31055-data-quality-services_sd,SAP Data Quality Services,Data Quality Services|DQS
31075-sap-cloud-integration-for-data-services_sd,SAP Cloud Integration for Data Services,Cloud Integration for Data Services|CI-DS
31114-sap-data-enrichment-service_sd,SAP Data Enrichment Service,Data Enrichment Service
31047-sap-usage-data-management-service-for-sap-btp_sd,SAP Usage Data Management Service,Usage Data Management|UDM
32147-ui-theme-designer_sd,SAP UI Theme Designer,UI Theme Designer|UTD
32124-document-grounding_sd,SAP Document Grounding,Document Grounding
